bgc_id,name,coverage,matched_core_smiles,class
BGC0000003,AF-toxin,0.364,CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0000004,aflatoxin G1,0.0,,no_match
BGC0000005,aflatoxin,0.0,,no_match
BGC0000006,aflatoxin B1,0.0,,no_match
BGC0000007,aflatoxin G1,0.0,,no_match
BGC0000008,aflatoxin B1,0.0,,no_match
BGC0000009,aflatoxin B1,0.0,,no_match
BGC0000010,aflatoxin,0.0,,no_match
BGC0000011,Sterigmatocystin,0.0,,no_match
BGC0000012,alternapyrone,0.607,CC(=O)CC(=O)CC(=O)CC(=O)C(C)C(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0000013,alternariol,0.714,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000022,asperfuranone,0.526,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000027,ankaflavin,0.435,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000030,bikaverin,0.5,Oc1cc(O)c2c(O)cc(O)cc2c1,cyclic_core
BGC0000037,cichorine,0.6,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000039,compactin,0.435,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000045,dehydrocurvularin,0.375,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000046,depudecin,0.545,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000048,dothistromin,0.556,Oc1cc(O)c2c(O)cc(O)cc2c1,cyclic_core
BGC0000057,F9775A,0.476,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000062,Fumonisin B1,0.588,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0000063,hydroxyl-Fumonisin C1,0.576,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)C(C)C(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0000064,fusarin C,0.591,CC(=O)CC(=O)CC(=O)C(C)C(=O)CC(=O)CC(=O)O,linear_only
BGC0000070,griseofulvin,0.353,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000076,hypothemycin,0.316,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000077,hypothemycin,0.316,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000088,lovastatin,0.417,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000089,lovastatin,0.417,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000098,monacolin K,0.417,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000099,monascorubrin,0.435,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000101,emodin,0.667,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000104,mycophenolic acid,0.353,CC(=O)CC(=O)CC(=O)O,linear_only
BGC0000120,patulin,0.0,,no_match
BGC0000121,Pestheic Acid,0.444,Cc1cc(O)cc(O)c1C(=O)O,cyclic_core
BGC0000129,pyripyropene A,0.323,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000134,radicicol,0.333,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000146,solanapyrone D,0.556,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000152,sterigmatocystin,0.0,,no_match
BGC0000154,stipitatic acid,0.75,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000155,T-toxin,0.732,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0000156,TAN-1612,0.476,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000160,terreic acid,0.857,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000161,isoterrein,0.75,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0000168,viridicatumtoxin,0.333,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000170,yanuthone D,0.464,CC(=O)CC(=O)CC(=O)C(C)C(=O)CC(=O)CC(=O)O,linear_only
BGC0000684,asperthecin,0.667,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000959,aspyridone A,0.368,CC(=O)CC(=O)C(C)C(=O)O,linear_only
BGC0000968,chaetoglobosin A,0.294,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0000977,cyclopiazonic acid,0.5,Oc1cc(O)c2c(O)cc(O)cc2c1,cyclic_core
BGC0000983,cytochalasin E,0.286,Cc1cc(O)cc(O)c1C(=O)O,cyclic_core
BGC0000992,fusaridione A,0.444,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001026,NG-391,0.545,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001030,ochratoxin A,0.5,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0001035,pneumocandin B0,0.28,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001037,pseurotin,0.273,CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001049,tenellin,0.429,CC(=O)CC(=O)C(C)C(=O)CC(=O)O,linear_only
BGC0001057,zearalenone,0.333,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0001067,Fumagillin,0.385,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001118,endocrocin,0.625,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0001121,orsellinic acid,1.0,Cc1cc(O)cc(O)c1C(=O)O,cyclic_core
BGC0001122,dihydroisoflavipucine,0.5,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0001124,pyranonigrin E,0.444,CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001136,desmethylbassianin,0.455,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001141,4-epi-15-epi-brefeldin A,0.375,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0001143,azanigerone A,0.526,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0001144,neosartoricin B,0.417,CC1Cc2cccc(O)c2C(=O)O1,cyclic_core
BGC0001158,bikaverin,0.5,Oc1cc(O)c2c(O)cc(O)cc2c1,cyclic_core
BGC0001187,xenolozoyenone,0.706,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)O,linear_only
BGC0001190,fusaric acid,0.6,Cc1cc(O)cc(=O)o1,cyclic_core
BGC0001205,communesin A,0.214,Cc1cc(O)cc(=O)o1,cyclic_core
