bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0000003,AF-toxin,22,32,9,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000004,aflatoxin G1,17,12,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000005,aflatoxin,17,12,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000006,aflatoxin B1,17,12,6,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000007,aflatoxin G1,17,12,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000008,aflatoxin B1,17,12,6,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000009,aflatoxin B1,17,12,6,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000010,aflatoxin,17,12,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000011,Sterigmatocystin,18,12,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0000012,alternapyrone,28,44,3,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000013,alternariol,14,10,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0000022,asperfuranone,19,24,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,24621,
BGC0000027,ankaflavin,23,30,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000030,bikaverin,20,14,8,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000039,compactin,23,36,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000045,dehydrocurvularin,16,18,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,230,
BGC0000046,depudecin,11,16,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,204,
BGC0000048,dothistromin,18,12,9,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000057,F9775A,21,16,8,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0000076,hypothemycin,19,22,8,unreachable,coverage-limited-structural,sound-structural-gap,True,True,892,
BGC0000077,hypothemycin,19,22,8,unreachable,coverage-limited-structural,sound-structural-gap,True,True,892,
BGC0000088,lovastatin,24,36,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000089,lovastatin,24,36,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000098,monacolin K,24,36,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000099,monascorubrin,23,26,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000101,emodin,15,10,5,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000104,mycophenolic acid,17,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1256,
BGC0000120,patulin,7,6,4,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000146,solanapyrone D,18,22,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,4724,
BGC0000152,sterigmatocystin,18,12,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0000154,stipitatic acid,8,6,5,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000155,T-toxin,41,68,13,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000156,TAN-1612,21,18,9,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0000160,terreic acid,7,6,4,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0000161,isoterrein,8,10,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,9,
BGC0000170,yanuthone D,28,38,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0000684,asperthecin,15,10,8,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0001057,zearalenone,18,22,5,unreachable,coverage-limited-structural,recovered,True,True,6802,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.ER: 'er'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.ER: 'er'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.DH: 'dh'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.RESORCYLIC_MACROLACTONE: 'resorcylic_macrolactone'>)"
BGC0001067,Fumagillin,26,34,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001118,endocrocin,16,10,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0001121,orsellinic acid,8,8,4,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0001141,4-epi-15-epi-brefeldin A,16,24,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,11536,
BGC0001143,azanigerone A,19,22,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,2376,
BGC0001144,neosartoricin B,24,26,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001158,bikaverin,20,14,8,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0001219,shanorellin,9,10,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1,
BGC0001242,oxyjavanicin,15,14,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0001243,botryenalol,17,26,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,24708,
BGC0001244,(-)-Mellein,10,10,3,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.DIHYDROISOCOUMARIN: 'dihydroisocoumarin'>)"
BGC0001245,lasiodiplodin,17,24,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,18508,
BGC0001246,trans-resorcylide,16,18,5,unreachable,coverage-limited-structural,recovered,True,True,230,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.ER: 'er'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.DH: 'dh'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.RESORCYLIC_MACROLACTONE: 'resorcylic_macrolactone'>)"
BGC0001247,cercosporin,29,26,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001252,UNII-YC2Q1O94PT,19,30,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,119154,
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",10,8,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",10,8,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0001259,elsinochrome A,30,24,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001264,betaenone A,21,34,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001266,grayanic acid,23,26,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001269,gibberellin A3,19,22,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,3714,
BGC0001270,gibberellin A7,19,22,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,3466,
BGC0001271,emericellin,25,28,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001272,elsinochrome B,30,26,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001273,asperlactone,9,12,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,24,
