bgc_id,name,carbons,C,H,O,base_status,formula_feasible,kappa_8000,class,soundness,budget_exhausted,n_programs_executed,n_pruned_overshoot,runtime_s
BGC0000003,AF-toxin,22,22,32,9,too_large,True,0,coverage-limited-structural,HEURISTIC,False,42,285440,19.065
BGC0000004,aflatoxin G1,17,17,12,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000005,aflatoxin,17,17,12,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000006,aflatoxin B1,17,17,12,6,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000007,aflatoxin G1,17,17,12,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000008,aflatoxin B1,17,17,12,6,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000009,aflatoxin B1,17,17,12,6,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000010,aflatoxin,17,17,12,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000011,Sterigmatocystin,18,18,12,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,289024,9.005
BGC0000012,alternapyrone,28,28,44,3,too_large,True,0,coverage-limited-structural,HEURISTIC,False,24957,238868,103.131
BGC0000013,alternariol,14,14,10,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,159808,2.436
BGC0000022,asperfuranone,19,19,24,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,3925,230912,15.366
BGC0000027,ankaflavin,23,23,30,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,4870,212480,29.049
BGC0000030,bikaverin,20,20,14,8,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000039,compactin,23,23,36,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,31184,212480,74.538
BGC0000045,dehydrocurvularin,16,16,18,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,80,166144,4.606
BGC0000046,depudecin,11,11,16,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,1552,18896,1.087
BGC0000048,dothistromin,18,18,12,9,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000057,F9775A,21,21,16,8,too_large,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000076,hypothemycin,19,19,22,8,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,230912,11.179
BGC0000077,hypothemycin,19,19,22,8,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,230912,11.156
BGC0000088,lovastatin,24,24,36,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,11270,192000,42.604
BGC0000089,lovastatin,24,24,36,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,11270,192000,44.394
BGC0000098,monacolin K,24,24,36,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,11270,192000,43.738
BGC0000099,monascorubrin,23,23,26,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,150,212480,22.636
BGC0000101,emodin,15,15,10,5,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000104,mycophenolic acid,17,17,20,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,20,254976,6.417
BGC0000120,patulin,7,7,6,4,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000146,solanapyrone D,18,18,22,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,8580,289024,18.058
BGC0000152,sterigmatocystin,18,18,12,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,289024,9.098
BGC0000154,stipitatic acid,8,8,6,5,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000155,T-toxin,41,41,68,13,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,256000,82.395
BGC0000156,TAN-1612,21,21,18,9,too_large,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000160,terreic acid,7,7,6,4,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0000161,isoterrein,8,8,10,3,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,93,1396,0.047
BGC0000170,yanuthone D,28,28,38,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,82,224000,33.215
BGC0000684,asperthecin,15,15,10,8,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0001057,zearalenone,18,18,22,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,2195,289024,11.215
BGC0001067,Fumagillin,26,26,34,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,155,240384,30.919
BGC0001118,endocrocin,16,16,10,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
