bgc_id,name,baseline,status_rescan,curve,classes,n_classes
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0001404,sorbicillin,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0001749,epipyriculol,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0001906,"2-acetyl-1,3,6,8-tetrahydroxynaphthalene",unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0001909,strobilurin A,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002065,strobilurin A,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002154,"1,3,5,8-tetrahydroxynapthalene",unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002190,sorbicillin,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002209,ustethylin A,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002238,"2,4'-dihydroxy-3'-methoxypropiophenone",unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002257,rufoschweinitzin,too_large,unreachable,CHO,aromatic_cyclization,1
BGC0002265,atranorin,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002507,sporandol,too_large,unreachable,CHO,aromatic_cyclization,1
BGC0002593,lecanoric acid,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002594,orcinol,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002596,lecanoric acid,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002848,CJ-20557,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0002936,Gyrophoric acid,too_large,unreachable,CHO,aromatic_cyclization,1
BGC0002987,scirpilin A,too_large,budget,CHO,aromatic_cyclization,1
BGC0003013,agonodepside A,too_large,unreachable,CHO,aromatic_cyclization,1
BGC0003109,stachysalicyloid C,unreachable,unreachable,CHO,aromatic_cyclization,1
BGC0000003,AF-toxin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000012,alternapyrone,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000022,asperfuranone,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000027,ankaflavin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000039,compactin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000046,depudecin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000088,lovastatin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000089,lovastatin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000098,monacolin K,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000099,monascorubrin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000146,solanapyrone D,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000161,isoterrein,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001141,4-epi-15-epi-brefeldin A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001143,azanigerone A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001219,shanorellin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001243,botryenalol,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001252,UNII-YC2Q1O94PT,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001264,betaenone A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001269,gibberellin A3,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
