bgc_id,name,class,core_smiles,min_edits,z_star,edits
BGC0000027,ankaflavin,hard_tier,,-1,-1,
BGC0000046,depudecin,ceiling,,-1,-1,
BGC0000057,F9775A,hard_tier,,-1,-1,
BGC0000070,griseofulvin,hard_tier,,-1,-1,
BGC0000120,patulin,ceiling,,-1,-1,
BGC0000121,Pestheic Acid,ceiling,,-1,-1,
BGC0000154,stipitatic acid,verified,CC(=O)CC(=O)CC=CC(=O)O,2,15,"{'ketone_oxidation': 1, 'oxidative_cyclization': 1}"
BGC0000156,TAN-1612,hard_tier,,-1,-1,
BGC0000161,isoterrein,ceiling,,-1,-1,
BGC0000168,viridicatumtoxin,hard_tier,,-1,-1,
BGC0000959,aspyridone A,ceiling,,-1,-1,
BGC0000968,chaetoglobosin A,hard_tier,,-1,-1,
BGC0000983,cytochalasin E,hard_tier,,-1,-1,
BGC0001035,pneumocandin B0,hard_tier,,-1,-1,
BGC0001037,pseurotin,hard_tier,,-1,-1,
BGC0001049,tenellin,hard_tier,,-1,-1,
BGC0001067,Fumagillin,hard_tier,,-1,-1,
BGC0001118,endocrocin,ceiling,,-1,-1,
BGC0001122,dihydroisoflavipucine,ceiling,,-1,-1,
BGC0001136,desmethylbassianin,hard_tier,,-1,-1,
BGC0001265,melanin,ceiling,,-1,-1,
BGC0001338,citrinin,ceiling,,-1,-1,
BGC0001339,squalestatin S1,hard_tier,,-1,-1,
BGC0001340,byssochlamic acid,ceiling,,-1,-1,
BGC0001445,leporin B,hard_tier,,-1,-1,
BGC0001446,asparasone A,ceiling,,-1,-1,
BGC0001449,ucs1025a,ceiling,,-1,-1,
BGC0001857,burnettramic acid A,hard_tier,,-1,-1,
BGC0001865,elsinochrome C,hard_tier,,-1,-1,
BGC0001866,viriditoxin,hard_tier,,-1,-1,
BGC0001881,pyrichalasin H,hard_tier,,-1,-1,
BGC0002063,cryptosporioptide B,hard_tier,,-1,-1,
BGC0002066,harzianopyridone,ceiling,,-1,-1,
BGC0002067,atpenin B,ceiling,,-1,-1,
BGC0002139,burnettiene A,hard_tier,,-1,-1,
BGC0002223,scytalidin,hard_tier,,-1,-1,
BGC0002224,zopfiellin,hard_tier,,-1,-1,
BGC0002428,FDDP-D,hard_tier,,-1,-1,
BGC0002429,higginsianin B,hard_tier,,-1,-1,
BGC0002749,aspcandine,ceiling,,-1,-1,
BGC0002759,brevione E,hard_tier,,-1,-1,
BGC0002845,Sartorypyrone A,hard_tier,,-1,-1,
BGC0002852,"3,6-dialkyl-α-pyrone",ceiling,,-1,-1,
BGC0002872,Zaragozic acid A,hard_tier,,-1,-1,
BGC0002877,Cordypyrone A,hard_tier,,-1,-1,
BGC0002887,radicicol,ceiling,,-1,-1,
BGC0002891,arthripenoid C,hard_tier,,-1,-1,
BGC0002904,fumonisin B2,hard_tier,,-1,-1,
BGC0002911,naringenin,ceiling,,-1,-1,
BGC0002930,6'-O-demethyl-dihydroaustalide K,hard_tier,,-1,-1,
BGC0002936,Gyrophoric acid,hard_tier,,-1,-1,
BGC0002953,11'-O-desmethyl fendlerol,hard_tier,,-1,-1,
BGC0002970,xylariolide D,ceiling,,-1,-1,
BGC0002971,Fugralin A,ceiling,,-1,-1,
BGC0002980,sphingofungin B,ceiling,,-1,-1,
BGC0002987,scirpilin A,hard_tier,,-1,-1,
BGC0003006,Rasfonin,hard_tier,,-1,-1,
BGC0003013,agonodepside A,hard_tier,,-1,-1,
BGC0003032,soppiline A,hard_tier,,-1,-1,
BGC0003093,Phomoxanthone A,hard_tier,,-1,-1,
BGC0003094,Roseopurpurin C,ceiling,,-1,-1,
BGC0003109,stachysalicyloid C,ceiling,,-1,-1,
BGC0003126,kotanin,hard_tier,,-1,-1,
BGC0003142,FDDP D,hard_tier,,-1,-1,
