bgc_id,name,class,core_smiles,min_edits,z_star,edits
BGC0000003,AF-toxin,hard_tier,,-1,-1,
BGC0000004,aflatoxin G1,hard_tier,,-1,-1,
BGC0000005,aflatoxin,ceiling,,-1,-1,
BGC0000006,aflatoxin B1,ceiling,,-1,-1,
BGC0000007,aflatoxin G1,ceiling,,-1,-1,
BGC0000008,aflatoxin B1,ceiling,,-1,-1,
BGC0000009,aflatoxin B1,ceiling,,-1,-1,
BGC0000010,aflatoxin,ceiling,,-1,-1,
BGC0000011,Sterigmatocystin,ceiling,,-1,-1,
BGC0000012,alternapyrone,hard_tier,,-1,-1,
BGC0000013,alternariol,hard_tier,,-1,-1,
BGC0000022,asperfuranone,ceiling,,-1,-1,
BGC0000027,ankaflavin,hard_tier,,-1,-1,
BGC0000030,bikaverin,hard_tier,,-1,-1,
BGC0000037,cichorine,hard_tier,,-1,-1,
BGC0000039,compactin,hard_tier,,-1,-1,
BGC0000045,dehydrocurvularin,ceiling,,-1,-1,
BGC0000046,depudecin,ceiling,,-1,-1,
BGC0000048,dothistromin,ceiling,,-1,-1,
BGC0000057,F9775A,hard_tier,,-1,-1,
BGC0000062,Fumonisin B1,hard_tier,,-1,-1,
BGC0000063,hydroxyl-Fumonisin C1,hard_tier,,-1,-1,
BGC0000064,fusarin C,hard_tier,,-1,-1,
BGC0000070,griseofulvin,ceiling,,-1,-1,
BGC0000076,hypothemycin,ceiling,,-1,-1,
BGC0000077,hypothemycin,ceiling,,-1,-1,
BGC0000088,lovastatin,hard_tier,,-1,-1,
BGC0000089,lovastatin,hard_tier,,-1,-1,
BGC0000098,monacolin K,hard_tier,,-1,-1,
BGC0000099,monascorubrin,hard_tier,,-1,-1,
BGC0000101,emodin,hard_tier,,-1,-1,
BGC0000104,mycophenolic acid,ceiling,,-1,-1,
BGC0000120,patulin,ceiling,,-1,-1,
BGC0000121,Pestheic Acid,ceiling,,-1,-1,
BGC0000129,pyripyropene A,hard_tier,,-1,-1,
BGC0000134,radicicol,ceiling,,-1,-1,
BGC0000146,solanapyrone D,ceiling,,-1,-1,
BGC0000152,sterigmatocystin,ceiling,,-1,-1,
BGC0000154,stipitatic acid,verified,CC(=O)CC(=O)CC=CC(=O)O,2,3,"{'ketone_oxidation': 1, 'oxidative_cyclization': 1}"
BGC0000155,T-toxin,hard_tier,,-1,-1,
BGC0000156,TAN-1612,hard_tier,,-1,-1,
BGC0000160,terreic acid,hard_tier,,-1,-1,
BGC0000161,isoterrein,ceiling,,-1,-1,
BGC0000168,viridicatumtoxin,hard_tier,,-1,-1,
BGC0000170,yanuthone D,hard_tier,,-1,-1,
BGC0000684,asperthecin,hard_tier,,-1,-1,
BGC0000959,aspyridone A,ceiling,,-1,-1,
BGC0000968,chaetoglobosin A,hard_tier,,-1,-1,
BGC0000977,cyclopiazonic acid,ceiling,,-1,-1,
BGC0000983,cytochalasin E,hard_tier,,-1,-1,
BGC0000992,fusaridione A,hard_tier,,-1,-1,
BGC0001026,NG-391,hard_tier,,-1,-1,
BGC0001030,ochratoxin A,ceiling,,-1,-1,
BGC0001035,pneumocandin B0,hard_tier,,-1,-1,
BGC0001037,pseurotin,hard_tier,,-1,-1,
BGC0001049,tenellin,hard_tier,,-1,-1,
BGC0001057,zearalenone,ceiling,,-1,-1,
BGC0001067,Fumagillin,hard_tier,,-1,-1,
BGC0001118,endocrocin,ceiling,,-1,-1,
BGC0001121,orsellinic acid,hard_tier,,-1,-1,
BGC0001122,dihydroisoflavipucine,ceiling,,-1,-1,
BGC0001124,pyranonigrin E,hard_tier,,-1,-1,
BGC0001136,desmethylbassianin,hard_tier,,-1,-1,
BGC0001141,4-epi-15-epi-brefeldin A,ceiling,,-1,-1,
BGC0001143,azanigerone A,ceiling,,-1,-1,
BGC0001144,neosartoricin B,hard_tier,,-1,-1,
BGC0001158,bikaverin,ceiling,,-1,-1,
BGC0001187,xenolozoyenone,ceiling,,-1,-1,
BGC0001190,fusaric acid,hard_tier,,-1,-1,
BGC0001205,communesin A,hard_tier,,-1,-1,
BGC0001218,fumosorinone,hard_tier,,-1,-1,
BGC0001219,shanorellin,ceiling,,-1,-1,
BGC0001242,oxyjavanicin,ceiling,,-1,-1,
BGC0001243,botryenalol,ceiling,,-1,-1,
BGC0001244,(-)-Mellein,verified,CC1Cc2cccc(O)c2C(=O)O1,0,1,{}
BGC0001245,lasiodiplodin,ceiling,,-1,-1,
BGC0001246,trans-resorcylide,ceiling,,-1,-1,
BGC0001247,cercosporin,hard_tier,,-1,-1,
BGC0001252,UNII-YC2Q1O94PT,ceiling,,-1,-1,
BGC0001253,ACT-Toxin I,hard_tier,,-1,-1,
BGC0001254,ACT-Toxin II,hard_tier,,-1,-1,
BGC0001255,equisetin,hard_tier,,-1,-1,
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",verified,Oc1cc(O)c2c(O)cc(O)cc2c1,0,1,{}
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",verified,Oc1cc(O)c2c(O)cc(O)cc2c1,0,1,{}
BGC0001259,elsinochrome A,hard_tier,,-1,-1,
BGC0001262,AK-toxin I,hard_tier,,-1,-1,
BGC0001264,betaenone A,hard_tier,,-1,-1,
BGC0001265,melanin,ceiling,,-1,-1,
BGC0001266,grayanic acid,hard_tier,,-1,-1,
BGC0001268,fusarin C,hard_tier,,-1,-1,
BGC0001269,gibberellin A3,ceiling,,-1,-1,
BGC0001270,gibberellin A7,ceiling,,-1,-1,
BGC0001271,emericellin,hard_tier,,-1,-1,
BGC0001272,elsinochrome B,hard_tier,,-1,-1,
