bgc_id,name,carbons,status,z_star_size,example_program
BGC0000003,AF-toxin,22,too_large,0,
BGC0000004,aflatoxin G1,17,unreachable,0,
BGC0000005,aflatoxin,17,unreachable,0,
BGC0000006,aflatoxin B1,17,unreachable,0,
BGC0000007,aflatoxin G1,17,unreachable,0,
BGC0000008,aflatoxin B1,17,unreachable,0,
BGC0000009,aflatoxin B1,17,unreachable,0,
BGC0000010,aflatoxin,17,unreachable,0,
BGC0000011,Sterigmatocystin,18,unreachable,0,
BGC0000012,alternapyrone,28,too_large,0,
BGC0000013,alternariol,14,unreachable,0,
BGC0000022,asperfuranone,19,unreachable,0,
BGC0000027,ankaflavin,23,too_large,0,
BGC0000030,bikaverin,20,unreachable,0,
BGC0000037,cichorine,0,skip_element,0,
BGC0000039,compactin,23,too_large,0,
BGC0000045,dehydrocurvularin,16,unreachable,0,
BGC0000046,depudecin,11,unreachable,0,
BGC0000048,dothistromin,18,unreachable,0,
BGC0000057,F9775A,21,too_large,0,
BGC0000062,Fumonisin B1,0,skip_element,0,
BGC0000063,hydroxyl-Fumonisin C1,0,skip_element,0,
BGC0000064,fusarin C,0,skip_element,0,
BGC0000070,griseofulvin,0,skip_element,0,
BGC0000076,hypothemycin,19,unreachable,0,
BGC0000077,hypothemycin,19,unreachable,0,
BGC0000088,lovastatin,24,too_large,0,
BGC0000089,lovastatin,24,too_large,0,
BGC0000098,monacolin K,24,too_large,0,
BGC0000099,monascorubrin,23,too_large,0,
BGC0000101,emodin,15,unreachable,0,
BGC0000104,mycophenolic acid,17,unreachable,0,
BGC0000120,patulin,7,unreachable,0,
BGC0000121,Pestheic Acid,0,skip_element,0,
BGC0000129,pyripyropene A,0,skip_element,0,
BGC0000134,radicicol,0,skip_element,0,
BGC0000146,solanapyrone D,18,unreachable,0,
BGC0000152,sterigmatocystin,18,unreachable,0,
BGC0000154,stipitatic acid,8,unreachable,0,
BGC0000155,T-toxin,41,too_large,0,
BGC0000156,TAN-1612,21,too_large,0,
BGC0000160,terreic acid,7,unreachable,0,
BGC0000161,isoterrein,8,unreachable,0,
BGC0000168,viridicatumtoxin,0,skip_element,0,
BGC0000170,yanuthone D,28,too_large,0,
BGC0000684,asperthecin,15,unreachable,0,
BGC0000959,aspyridone A,0,skip_element,0,
BGC0000968,chaetoglobosin A,0,skip_element,0,
BGC0000977,cyclopiazonic acid,0,skip_element,0,
BGC0000983,cytochalasin E,0,skip_element,0,
BGC0000992,fusaridione A,0,skip_element,0,
BGC0001026,NG-391,0,skip_element,0,
BGC0001030,ochratoxin A,0,skip_element,0,
BGC0001035,pneumocandin B0,0,skip_element,0,
BGC0001037,pseurotin,0,skip_element,0,
BGC0001049,tenellin,0,skip_element,0,
BGC0001057,zearalenone,18,unreachable,0,
BGC0001067,Fumagillin,26,too_large,0,
BGC0001118,endocrocin,16,unreachable,0,
BGC0001121,orsellinic acid,8,reachable,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0001122,dihydroisoflavipucine,0,skip_element,0,
BGC0001124,pyranonigrin E,0,skip_element,0,
BGC0001136,desmethylbassianin,0,skip_element,0,
BGC0001141,4-epi-15-epi-brefeldin A,16,unreachable,0,
BGC0001143,azanigerone A,19,unreachable,0,
BGC0001144,neosartoricin B,24,too_large,0,
BGC0001158,bikaverin,20,unreachable,0,
BGC0001187,xenolozoyenone,0,skip_element,0,
BGC0001190,fusaric acid,0,skip_element,0,
BGC0001205,communesin A,0,skip_element,0,
BGC0001218,fumosorinone,0,skip_element,0,
BGC0001219,shanorellin,9,unreachable,0,
BGC0001242,oxyjavanicin,15,unreachable,0,
BGC0001243,botryenalol,17,unreachable,0,
BGC0001244,(-)-Mellein,10,reachable,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.DIHYDROISOCOUMARIN: 'dihydroisocoumarin'>)"
BGC0001245,lasiodiplodin,17,unreachable,0,
BGC0001246,trans-resorcylide,16,unreachable,0,
BGC0001247,cercosporin,29,too_large,0,
BGC0001252,UNII-YC2Q1O94PT,19,unreachable,0,
BGC0001253,ACT-Toxin I,0,skip_element,0,
BGC0001254,ACT-Toxin II,0,skip_element,0,
BGC0001255,equisetin,0,skip_element,0,
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",10,unreachable,0,
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",10,unreachable,0,
BGC0001259,elsinochrome A,30,too_large,0,
BGC0001262,AK-toxin I,0,skip_element,0,
BGC0001264,betaenone A,21,too_large,0,
BGC0001265,melanin,0,skip_element,0,
BGC0001266,grayanic acid,23,too_large,0,
BGC0001268,fusarin C,0,skip_element,0,
BGC0001269,gibberellin A3,19,unreachable,0,
BGC0001270,gibberellin A7,19,unreachable,0,
BGC0001271,emericellin,25,too_large,0,
BGC0001272,elsinochrome B,30,too_large,0,
BGC0001273,asperlactone,9,unreachable,0,
BGC0001275,6-methylsalicyclic acid,8,reachable,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0001276,6-methylsalicyclic acid,8,reachable,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0001280,betaenone C,21,too_large,0,
